node_id,parent_id,action_from_parent,depth,visits,total_value,average_value,factor_ids,projlen
0,,,0,2000,13954.26484069347,6.977132420346734,[],0
1,0,14,1,21,128.37476932324904,6.11308425348805,[14],3
2,1,12,2,15,91.59068591826521,6.106045727884347,"[14, 12]",6
3,2,9,3,14,86.15799247313501,6.154142319509644,"[14, 12, 9]",9
4,3,1,4,13,77.27642148219088,5.944340114014683,"[14, 12, 9, 1]",11
5,4,4,5,12,69.62659247189463,5.802216039324552,"[14, 12, 9, 1, 4]",13
6,5,16,6,11,61.97676346159834,5.634251223781667,"[14, 12, 9, 1, 4, 16]",15
7,6,12,7,10,55.065979639690745,5.5065979639690745,"[14, 12, 9, 1, 4, 16, 12]",18
8,7,8,8,9,50.12598298681967,5.569553665202186,"[14, 12, 9, 1, 4, 16, 12, 8]",21
9,8,12,9,8,41.98345718426426,5.2479321480330325,"[14, 12, 9, 1, 4, 16, 12, 8, 12]",24
10,9,8,10,7,37.53615732365231,5.362308189093187,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8]",27
11,10,13,11,6,32.8425090669108,5.4737515111518,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13]",29
12,11,10,12,5,27.90251241403972,5.580502482807944,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13, 10]",31
13,12,12,13,4,20.00633500761387,5.001583751903468,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13, 10, 12]",34
14,13,9,14,3,16.051731939261053,5.350577313087018,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13, 10, 12, 9]",37
15,14,18,15,2,9.879993305742154,4.939996652871077,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13, 10, 12, 9, 18]",40
16,15,9,16,1,6.418087029648463,6.418087029648463,"[14, 12, 9, 1, 4, 16, 12, 8, 12, 8, 13, 10, 12, 9, 18, 9]",43
17,0,21,1,30,194.41255123586214,6.480418374528738,[21],2
18,17,4,2,15,88.66195895517436,5.91079726367829,"[21, 4]",4
19,18,3,3,14,80.51943315261894,5.751388082329925,"[21, 4, 3]",6
20,19,4,4,13,74.59404291522961,5.738003301171508,"[21, 4, 3, 4]",9
21,20,16,5,12,68.42230428171071,5.701858690142559,"[21, 4, 3, 4, 16]",11
22,21,12,6,11,58.774234311914,5.343112210174,"[21, 4, 3, 4, 16, 12]",14
23,22,9,7,10,53.341540866783795,5.33415408667838,"[21, 4, 3, 4, 16, 12, 9]",17
24,23,1,8,9,46.677105441005764,5.18634504900064,"[21, 4, 3, 4, 16, 12, 9, 1]",19
25,24,4,9,8,40.25901841135731,5.032377301419664,"[21, 4, 3, 4, 16, 12, 9, 1, 4]",21
26,25,12,10,7,34.57997657009754,4.939996652871078,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12]",24
27,26,9,11,6,29.639979917226462,4.939996652871077,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9]",27
28,27,18,12,5,23.96093807596669,4.792187615193338,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9, 18]",30
29,28,9,13,4,19.513638215354742,4.878409553838686,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9, 18, 9]",33
30,29,18,14,3,12.602854393447151,4.200951464482384,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9, 18, 9, 18]",36
31,30,8,15,2,8.648251325094332,4.324125662547166,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9, 18, 9, 18, 8]",39
32,31,16,16,1,3.9546030683528195,3.9546030683528195,"[21, 4, 3, 4, 16, 12, 9, 1, 4, 12, 9, 18, 9, 18, 8, 16]",41
33,1,8,2,5,30.119647979205794,6.0239295958411585,"[14, 8]",6
34,33,12,3,4,21.73077378052082,5.432693445130205,"[14, 8, 12]",9
35,34,9,4,3,16.54442873152018,5.514809577173394,"[14, 8, 12, 9]",12
36,35,4,5,2,10.619038494130846,5.309519247065423,"[14, 8, 12, 9, 4]",14
37,0,18,1,16,95.05259219435892,5.940787012147433,[18],3
38,37,8,2,15,89.37355035309915,5.9582366902066095,"[18, 8]",6
39,38,13,3,14,80.98467615441417,5.784619725315298,"[18, 8, 13]",8
40,39,21,4,13,74.81293752089528,5.754841347761175,"[18, 8, 13, 21]",10
41,40,1,5,12,66.17771492608074,5.514809577173395,"[18, 8, 13, 21, 1]",12
42,41,18,6,11,59.02058270804358,5.365507518913052,"[18, 8, 13, 21, 1, 18]",15
43,42,6,7,10,53.83423765904294,5.383423765904294,"[18, 8, 13, 21, 1, 18, 6]",17
44,43,8,8,9,48.64789261004229,5.40532140111581,"[18, 8, 13, 21, 1, 18, 6, 8]",20
45,44,2,9,8,41.98345718426426,5.2479321480330325,"[18, 8, 13, 21, 1, 18, 6, 8, 2]",22
46,45,3,10,7,36.05806694687492,5.1511524209821316,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3]",24
47,46,1,11,6,30.132676709485587,5.022112784914264,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1]",26
48,47,18,12,5,23.960938075966688,4.792187615193337,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1, 18]",29
49,48,9,13,4,19.267289819225176,4.816822454806294,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1, 18, 9]",32
50,49,18,14,3,12.602854393447153,4.200951464482384,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1, 18, 9, 18]",35
51,50,6,15,2,8.401902928964768,4.200951464482384,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1, 18, 9, 18, 6]",37
52,36,3,6,1,4.693648256741512,4.693648256741512,"[14, 8, 12, 9, 4, 3]",17
53,51,6,16,1,4.200951464482384,4.200951464482384,"[18, 8, 13, 21, 1, 18, 6, 8, 2, 3, 1, 18, 9, 18, 6, 6]",39
54,17,20,2,14,97.60806647813239,6.972004748438027,"[21, 20]",5
55,54,12,3,13,86.90655471446097,6.685119593420074,"[21, 20, 12]",7
56,55,6,4,12,81.2275128732012,6.768959406100101,"[21, 20, 12, 6]",9
57,56,8,5,11,75.54847103194143,6.868042821085584,"[21, 20, 12, 6, 8]",12
58,57,2,6,10,67.89864202164513,6.789864202164513,"[21, 20, 12, 6, 8, 2]",14
59,58,12,7,9,59.01525249231199,6.557250276923554,"[21, 20, 12, 6, 8, 2, 12]",17
60,59,8,8,8,53.828907443311344,6.728613430413918,"[21, 20, 12, 6, 8, 2, 12, 8]",20
61,60,13,9,7,44.94551791397819,6.420788273425456,"[21, 20, 12, 6, 8, 2, 12, 8, 13]",22
62,61,9,10,6,35.552341424336,5.925390237389333,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9]",25
63,62,4,11,5,30.858693167594488,6.171738633518897,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9, 4]",28
64,63,13,12,4,23.9479093456869,5.986977336421725,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9, 4, 13]",30
65,0,19,1,581,4074.276826106858,7.012524657671013,[19],3
66,65,18,2,36,245.34115858124838,6.815032182812455,"[19, 18]",5
67,66,6,3,15,99.72018299054083,6.648012199369389,"[19, 18, 6]",7
68,67,9,4,14,94.04114114928106,6.71722436780579,"[19, 18, 6, 9]",10
69,68,18,5,13,86.63766053511434,6.664435425778025,"[19, 18, 6, 9, 18]",13
70,69,6,6,12,81.4513154861137,6.787609623842808,"[19, 18, 6, 9, 18, 6]",15
71,70,8,7,11,76.26497043711306,6.933179130646642,"[19, 18, 6, 9, 18, 6, 8]",18
72,71,13,8,10,69.84688340746462,6.9846883407464615,"[19, 18, 6, 9, 18, 6, 8, 13]",20
73,72,21,9,9,61.95070600103876,6.883411777893196,"[19, 18, 6, 9, 18, 6, 8, 13, 21]",22
74,73,9,10,8,56.025315763649424,7.003164470456178,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9]",25
75,74,4,11,7,51.33166750690791,7.333095358129702,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4]",28
76,75,16,12,6,43.92818689274119,7.321364482123531,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16]",30
77,76,13,13,5,37.017403070833595,7.403480614166719,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16, 13]",32
78,77,10,14,4,30.106619248926002,7.5266548122315005,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16, 13, 10]",34
79,78,16,15,3,22.21044184250016,7.40348061416672,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16, 13, 10, 16]",36
80,79,13,16,2,15.299658020592567,7.649829010296283,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16, 13, 10, 16, 13]",38
81,65,6,2,11,67.6427765725783,6.149343324779846,"[19, 6]",5
82,81,6,3,10,59.00755397776377,5.900755397776377,"[19, 6, 6]",7
83,82,8,4,9,52.34311855198575,5.81590206133175,"[19, 6, 6, 8]",9
84,83,12,5,8,43.95424435330077,5.494280544162597,"[19, 6, 6, 8, 12]",12
85,84,6,6,7,38.52155090817057,5.503078701167224,"[19, 6, 6, 8, 12, 6]",14
86,85,9,7,6,33.088857463040355,5.514809577173392,"[19, 6, 6, 8, 12, 6, 9]",17
87,86,18,8,5,24.699983264355385,4.939996652871077,"[19, 6, 6, 8, 12, 6, 9, 18]",20
88,87,6,9,4,19.759986611484308,4.939996652871077,"[19, 6, 6, 8, 12, 6, 9, 18, 6]",22
89,88,6,10,3,14.819989958613231,4.939996652871077,"[19, 6, 6, 8, 12, 6, 9, 18, 6, 6]",24
90,89,8,11,2,9.879993305742154,4.939996652871077,"[19, 6, 6, 8, 12, 6, 9, 18, 6, 6, 8]",27
91,64,1,13,3,15.805383543131487,5.268461181043829,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9, 4, 13, 1]",32
92,91,18,14,2,8.401902928964768,4.200951464482384,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9, 4, 13, 1, 18]",35
93,80,21,17,1,6.418087029648463,6.418087029648463,"[19, 18, 6, 9, 18, 6, 8, 13, 21, 9, 4, 16, 13, 10, 16, 13, 21]",40
94,66,8,3,20,139.9419337494478,6.99709668747239,"[19, 18, 8]",8
95,94,13,4,15,105.38619610152082,7.025746406768055,"[19, 18, 8, 13]",10
96,95,20,5,14,96.99732190283584,6.9283801359168455,"[19, 18, 8, 13, 20]",13
97,96,3,6,13,89.59384128866913,6.89183394528224,"[19, 18, 8, 13, 20, 3]",14
98,97,4,7,12,81.20496708998414,6.767080590832012,"[19, 18, 8, 13, 20, 3, 4]",16
99,98,3,8,11,72.81609289129918,6.619644808299925,"[19, 18, 8, 13, 20, 3, 4, 3]",18
100,99,18,9,10,66.39800586165072,6.639800586165071,"[19, 18, 8, 13, 20, 3, 4, 3, 18]",21
101,0,9,1,25,159.7131305528229,6.388525222112915,[9],3
102,101,4,2,15,97.2566990292452,6.483779935283013,"[9, 4]",6
103,102,16,3,14,88.86782483056021,6.347701773611443,"[9, 4, 16]",8
104,103,2,4,13,80.47895063187525,6.19068851014425,"[9, 4, 16, 2]",10
105,104,2,5,12,72.82912162157896,6.069093468464914,"[9, 4, 16, 2, 2]",12
106,105,2,6,11,66.90373138418963,6.0821573985626936,"[9, 4, 16, 2, 2, 2]",14
107,106,3,7,10,60.239295958411596,6.023929595841159,"[9, 4, 16, 2, 2, 2, 3]",16
108,107,18,8,9,54.80660251328139,6.08962250147571,"[9, 4, 16, 2, 2, 2, 3, 18]",19
109,108,8,9,8,49.62025746428075,6.2025321830350935,"[9, 4, 16, 2, 2, 2, 3, 18, 8]",22
110,109,13,10,7,43.202170434632286,6.171738633518898,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13]",24
111,110,20,11,6,37.27678019724295,6.212796699540491,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20]",27
112,111,3,12,5,30.858693167594488,6.171738633518897,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20, 3]",28
113,112,1,13,4,24.68695453407559,6.171738633518897,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20, 3, 1]",30
114,113,18,14,3,17.52982231603844,5.843274105346147,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20, 3, 1, 18]",33
115,100,6,10,9,61.21166081265007,6.801295645850008,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6]",23
116,114,9,15,2,12.836174059296926,6.418087029648463,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20, 3, 1, 18, 9]",36
117,115,9,11,8,56.025315763649424,7.003164470456178,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9]",26
118,65,9,2,26,173.76801786248785,6.683385302403379,"[19, 9]",6
119,116,4,16,1,6.418087029648463,6.418087029648463,"[9, 4, 16, 2, 2, 2, 3, 18, 8, 13, 20, 3, 1, 18, 9, 4]",38
120,118,1,3,21,143.8947182794116,6.852129441876743,"[19, 9, 1]",8
121,101,18,2,9,56.7773896823179,6.308598853590878,"[9, 18]",6
122,117,1,12,7,48.621835149482706,6.945976449926101,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1]",28
123,122,4,13,6,41.71105132757511,6.951841887929185,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1, 4]",30
124,123,3,14,5,35.29296429792665,7.05859285958533,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1, 4, 3]",32
125,120,4,4,15,105.87889289377995,7.05859285958533,"[19, 9, 1, 4]",11
126,125,12,5,14,98.47541227961324,7.033958019972374,"[19, 9, 1, 4, 12]",13
127,126,8,6,13,90.57923487318737,6.9676334517836445,"[19, 9, 1, 4, 12, 8]",15
128,127,13,7,12,84.40749623966849,7.033958019972374,"[19, 9, 1, 4, 12, 8, 13]",17
129,128,4,8,11,77.49671241776088,7.045155674341898,"[19, 9, 1, 4, 12, 8, 13, 4]",19
130,129,13,9,10,70.5859285958533,7.05859285958533,"[19, 9, 1, 4, 12, 8, 13, 4, 13]",21
131,130,20,10,9,63.92149317007527,7.1023881300083636,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20]",24
132,131,17,11,8,56.76436095203812,7.095545119004765,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17]",26
133,132,22,12,7,49.36088033787139,7.051554333981628,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22]",28
134,133,8,13,6,40.479309346927295,6.746551557821216,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8]",31
135,134,3,14,5,33.814873921149264,6.762974784229852,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8, 3]",33
136,135,4,15,4,26.90409009924167,6.726022524810418,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8, 3, 4]",35
137,136,12,16,3,19.254261088945388,6.418087029648462,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8, 3, 4, 12]",38
138,137,8,17,2,14.806961228333439,7.403480614166719,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8, 3, 4, 12, 8]",41
139,118,18,3,4,24.44060613794603,6.110151534486508,"[19, 9, 18]",9
140,139,6,4,3,17.03712552377931,5.67904184125977,"[19, 9, 18, 6]",11
141,140,9,5,2,9.879993305742154,4.939996652871077,"[19, 9, 18, 6, 9]",14
142,141,1,6,1,4.939996652871077,4.939996652871077,"[19, 9, 18, 6, 9, 1]",16
143,92,6,15,1,4.200951464482384,4.200951464482384,"[21, 20, 12, 6, 8, 2, 12, 8, 13, 9, 4, 13, 1, 18, 6]",37
144,121,8,3,8,51.34469623718769,6.418087029648461,"[9, 18, 8]",9
145,0,6,1,12,72.09007643319026,6.007506369432522,[6],2
146,145,9,2,11,66.16468619580093,6.014971472345539,"[6, 9]",5
147,146,4,3,10,60.485644354541165,6.048564435454116,"[6, 9, 4]",8
148,147,3,4,9,52.589466948115316,5.843274105346146,"[6, 9, 4, 3]",11
149,148,1,5,8,47.403121899114666,5.925390237389333,"[6, 9, 4, 3, 1]",13
150,149,4,6,7,42.21677685011403,6.030968121444862,"[6, 9, 4, 3, 1, 4]",16
151,150,16,7,6,35.79868982046557,5.966448303410928,"[6, 9, 4, 3, 1, 4, 16]",18
152,151,16,8,5,28.395209206298844,5.679041841259769,"[6, 9, 4, 3, 1, 4, 16, 16]",20
153,152,12,9,4,22.22347057277995,5.555867643194987,"[6, 9, 4, 3, 1, 4, 16, 16, 12]",22
154,153,8,10,3,16.05173193926105,5.350577313087016,"[6, 9, 4, 3, 1, 4, 16, 16, 12, 8]",24
155,154,3,11,2,9.387296513483024,4.693648256741512,"[6, 9, 4, 3, 1, 4, 16, 16, 12, 8, 3]",27
156,144,2,4,7,43.94121562302098,6.277316517574426,"[9, 18, 8, 2]",11
157,156,2,5,6,36.53773500885426,6.08962250147571,"[9, 18, 8, 2, 2]",13
158,157,13,6,5,30.61234477146493,6.1224689542929855,"[9, 18, 8, 2, 2, 13]",15
159,138,13,18,1,7.157132218037155,7.157132218037155,"[19, 9, 1, 4, 12, 8, 13, 4, 13, 20, 17, 22, 8, 3, 4, 12, 8, 13]",43
160,120,18,4,5,32.583131940501445,6.516626388100289,"[19, 9, 1, 18]",11
161,124,4,15,4,29.367574060537315,7.341893515134329,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1, 4, 3, 4]",34
162,161,13,16,3,21.964093446370594,7.321364482123531,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1, 4, 3, 4, 13]",36
163,162,21,17,2,15.053309624463004,7.526654812231502,"[19, 18, 8, 13, 20, 3, 4, 3, 18, 6, 9, 1, 4, 3, 4, 13, 21]",38
164,65,7,2,293,2115.429366298703,7.21989544811844,"[19, 7]",5
165,164,10,3,46,332.0251442187462,7.217937917798831,"[19, 7, 10]",7
166,165,12,4,35,257.6864169921559,7.36246905691874,"[19, 7, 10, 12]",10
167,166,9,5,21,158.471959524154,7.546283786864476,"[19, 7, 10, 12, 9]",13
168,167,4,6,17,132.30691461330096,7.7827596831353505,"[19, 7, 10, 12, 9, 4]",15
169,168,13,7,15,120.20978574239273,8.013985716159516,"[19, 7, 10, 12, 9, 4, 13]",17
170,169,4,8,14,113.29900192048514,8.092785851463224,"[19, 7, 10, 12, 9, 4, 13, 4]",19
171,170,13,9,13,104.16071891099746,8.012362993153651,"[19, 7, 10, 12, 9, 4, 13, 4, 13]",21
172,171,11,10,12,97.742631881349,8.14521932344575,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11]",24
173,172,16,11,11,90.09280287105273,8.190254806459338,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16]",25
174,173,3,12,10,81.70392867236775,8.170392867236774,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3]",27
175,174,4,13,9,74.30044805820103,8.255605339800114,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4]",29
176,175,2,14,8,64.9261802749978,8.115772534374726,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2]",31
177,176,13,15,7,55.78789726551013,7.969699609358591,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2, 13]",32
178,177,18,16,6,45.35408677230472,7.559014462050786,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2, 13, 18]",35
179,178,9,17,5,37.70425776200843,7.540851552401686,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2, 13, 18, 9]",38
180,164,20,3,83,612.6507975899912,7.381334910722785,"[19, 7, 20]",7
181,180,2,4,35,262.8188659761677,7.509110456461934,"[19, 7, 20, 2]",9
182,181,2,5,30,228.75764365888884,7.625254788629628,"[19, 7, 20, 2, 2]",11
183,182,12,6,25,194.69642134161,7.7878568536644,"[19, 7, 20, 2, 2, 12]",14
184,183,8,7,23,183.8310344513496,7.992653671797809,"[19, 7, 20, 2, 2, 12, 8]",17
185,184,2,8,15,114.74925369283329,7.649950246188886,"[19, 7, 20, 2, 2, 12, 8, 2]",19
186,185,13,9,14,106.60672789027788,7.614766277876991,"[19, 7, 20, 2, 2, 12, 8, 2, 13]",21
187,186,20,10,13,97.23246010707466,7.479420008236512,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20]",24
188,187,17,11,12,88.59723751226012,7.383103126021677,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17]",26
189,188,12,12,11,80.20836331357513,7.291669392143194,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12]",27
190,189,8,13,10,69.84870194585365,6.984870194585365,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8]",29
191,190,12,14,9,61.9525245394278,6.8836138377142,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12]",31
192,191,8,15,8,52.82460515235413,6.603075644044266,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8]",33
193,192,2,16,7,45.17477614205785,6.453539448865407,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2]",35
194,193,3,17,6,36.29138661272469,6.048564435454115,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3]",38
195,194,18,18,5,31.351389959853623,6.270277991970724,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3, 18]",41
196,180,3,4,12,85.71338734580021,7.142782278816685,"[19, 7, 20, 3]",9
197,0,17,1,635,4609.583650845575,7.259186851725315,[17],2
198,197,4,2,19,127.85601507043032,6.729263951075279,"[17, 4]",5
199,198,13,3,15,96.76400223698604,6.450933482465737,"[17, 4, 13]",7
200,199,8,4,14,86.89703766152371,6.206931261537408,"[17, 4, 13, 8]",9
201,200,3,5,13,79.9862538396161,6.152788756893546,"[17, 4, 13, 8, 3]",12
202,201,4,6,12,74.55356039448591,6.212796699540493,"[17, 4, 13, 8, 3, 4]",15
203,202,13,7,11,67.64277657257833,6.149343324779848,"[17, 4, 13, 8, 3, 4, 13]",17
204,203,9,8,10,60.239295958411596,6.023929595841159,"[17, 4, 13, 8, 3, 4, 13, 9]",20
205,204,1,9,9,55.29929930554052,6.144366589504503,"[17, 4, 13, 8, 3, 4, 13, 9, 1]",22
206,205,1,10,8,50.35930265266944,6.29491283158368,"[17, 4, 13, 8, 3, 4, 13, 9, 1, 1]",24
207,206,1,11,7,45.41930599979837,6.488472285685481,"[17, 4, 13, 8, 3, 4, 13, 9, 1, 1, 1]",26
208,196,4,5,11,78.06355833550394,7.096687121409449,"[19, 7, 20, 3, 4]",11
209,208,12,6,10,67.62974784229853,6.762974784229852,"[19, 7, 20, 3, 4, 12]",14
210,195,6,19,4,23.701560949557336,5.925390237389334,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3, 18, 6]",43
211,65,20,2,10,63.195476711966364,6.319547671196636,"[19, 20]",5
212,211,12,3,9,55.299299305540515,6.144366589504502,"[19, 20, 12]",8
213,212,8,4,8,49.8666058604103,6.233325732551288,"[19, 20, 12, 8]",11
214,164,8,3,12,81.47022419255266,6.789185349379388,"[19, 7, 8]",7
215,214,2,4,11,72.83500159773813,6.6213637816125575,"[19, 7, 8, 2]",9
216,215,2,5,10,64.19977900292358,6.419977900292357,"[19, 7, 8, 2, 2]",11
217,216,12,6,9,56.54994999262729,6.283327776958588,"[19, 7, 8, 2, 2, 12]",14
218,181,3,5,4,27.150438495371233,6.787609623842808,"[19, 7, 20, 2, 3]",11
219,209,9,7,9,62.197054397168316,6.91078382190759,"[19, 7, 20, 3, 4, 12, 9]",17
220,218,1,6,3,19.993306277334078,6.664435425778026,"[19, 7, 20, 2, 3, 1]",13
221,220,18,7,2,10.865386890260412,5.432693445130206,"[19, 7, 20, 2, 3, 1, 18]",16
222,210,9,20,3,15.312686750872357,5.104228916957452,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3, 18, 6, 9]",46
223,207,1,12,6,40.47930934692729,6.746551557821214,"[17, 4, 13, 8, 3, 4, 13, 9, 1, 1, 1, 1]",28
224,217,8,7,8,51.117256547497085,6.389657068437136,"[19, 7, 8, 2, 2, 12, 8]",17
225,219,4,8,8,54.79357378300159,6.849196722875199,"[19, 7, 20, 3, 4, 12, 9, 4]",19
226,225,3,9,7,46.40469958431662,6.629242797759517,"[19, 7, 20, 3, 4, 12, 9, 4, 3]",22
227,224,2,8,7,43.96012432945993,6.280017761351418,"[19, 7, 8, 2, 2, 12, 8, 2]",19
228,227,12,9,6,34.56694783981775,5.761157973302958,"[19, 7, 8, 2, 2, 12, 8, 2, 12]",22
229,182,3,6,4,25.425999722464287,6.356499930616072,"[19, 7, 20, 2, 2, 3]",13
230,229,18,7,3,17.529822316038437,5.843274105346146,"[19, 7, 20, 2, 2, 3, 18]",16
231,222,18,21,2,10.86538689026041,5.432693445130205,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3, 18, 6, 9, 18]",49
232,183,6,7,1,5.432693445130206,5.432693445130206,"[19, 7, 20, 2, 2, 12, 6]",16
233,228,9,10,5,29.62695118694667,5.925390237389334,"[19, 7, 8, 2, 2, 12, 8, 2, 12, 9]",25
234,179,4,18,4,32.76426110913736,8.19106527728434,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2, 13, 18, 9, 4]",41
235,165,2,4,8,55.33081453377453,6.916351816721816,"[19, 7, 10, 2]",9
236,235,3,5,7,46.449243542830416,6.635606220404346,"[19, 7, 10, 2, 3]",12
237,231,9,22,1,3.9546030683528195,3.9546030683528195,"[19, 7, 20, 2, 2, 12, 8, 2, 13, 20, 17, 12, 8, 12, 8, 2, 3, 18, 6, 9, 18, 9]",52
238,213,3,5,7,44.18756401915054,6.3125091455929345,"[19, 20, 12, 8, 3]",13
239,238,4,6,6,36.537735008854256,6.089622501475709,"[19, 20, 12, 8, 3, 4]",15
240,239,16,7,5,27.656164017910157,5.531232803582031,"[19, 20, 12, 8, 3, 4, 16]",17
241,240,3,8,4,19.759986611484308,4.939996652871077,"[19, 20, 12, 8, 3, 4, 16, 3]",20
242,236,1,6,6,41.01655009770022,6.836091682950037,"[19, 7, 10, 2, 3, 1]",14
243,241,1,9,3,14.819989958613231,4.939996652871077,"[19, 20, 12, 8, 3, 4, 16, 3, 1]",22
244,233,1,11,4,22.716167365039077,5.679041841259769,"[19, 7, 8, 2, 2, 12, 8, 2, 12, 9, 1]",27
245,226,1,10,6,41.464702931445544,6.91078382190759,"[19, 7, 20, 3, 4, 12, 9, 4, 3, 1]",24
246,234,2,19,3,24.621735306581947,8.207245102193982,"[19, 7, 10, 12, 9, 4, 13, 4, 13, 11, 16, 3, 4, 2, 13, 18, 9, 4, 2]",43
247,166,8,5,13,93.7817640228717,7.213981847913208,"[19, 7, 10, 12, 8]",13
248,164,7,3,82,603.9200124432639,7.364878200527609,"[19, 7, 7]",7
249,248,21,4,31,233.64286319464327,7.536866554665912,"[19, 7, 7, 21]",9
250,249,11,5,15,113.9328856041109,7.595525706940726,"[19, 7, 7, 21, 11]",11
251,250,18,6,14,105.04949607477774,7.503535433912695,"[19, 7, 7, 21, 11, 18]",14
252,251,6,7,13,98.87775744125885,7.605981341635296,"[19, 7, 7, 21, 11, 18, 6]",16
253,252,9,8,12,89.48458095161666,7.457048412634722,"[19, 7, 7, 21, 11, 18, 6, 9]",19
254,253,4,9,11,84.29823590261601,7.66347599114691,"[19, 7, 7, 21, 11, 18, 6, 9, 4]",22
